hostname,os,environment,country,node
LPITA005,Linux,Production,Italy,5
SSESP003,Solaris,Staging,Spain,3
HDDEU001,HP-UX,Development,Germany,1
LPFRA001,Linux,Production,France,1
SSFRA001,Solaris,Staging,France,1
ASIRL001,AIX,Staging,Ireland,1
LDNOR001,Linux,Development,Norway,1
APIRL004,AIX,Production,Ireland,4
AIESP002,AIX,Integration,Spain,2
ADIRL001,AIX,Development,Ireland,1
LTIRL004,Linux,Testing,Ireland,4
HSESP001,HP-UX,Staging,Spain,1
SPESP005,Solaris,Production,Spain,5
STESP003,Solaris,Testing,Spain,3
LTESP001,Linux,Testing,Spain,1
LPDEU003,Linux,Production,Germany,3
ATIRL003,AIX,Testing,Ireland,3
APDEU002,AIX,Production,Germany,2
LIDEU003,Linux,Integration,Germany,3
ADESP001,AIX,Development,Spain,1
LPDEU004,Linux,Production,Germany,4
SPITA005,Solaris,Production,Italy,5
LIESP002,Linux,Integration,Spain,2
ADDEU002,AIX,Development,Germany,2
LSIRL005,Linux,Staging,Ireland,5
LSESP001,Linux,Staging,Spain,1
ATDEU001,AIX,Testing,Germany,1
SSESP004,Solaris,Staging,Spain,4
STESP004,Solaris,Testing,Spain,4
LTITA006,Linux,Testing,Italy,6
APFRA001,AIX,Production,France,1
APITA003,AIX,Production,Italy,3
STIRL001,Solaris,Testing,Ireland,1
LDITA001,Linux,Development,Italy,1
HIESP003,HP-UX,Integration,Spain,3
LSIRL006,Linux,Staging,Ireland,6
HPFRA001,HP-UX,Production,France,1
SPESP006,Solaris,Production,Spain,6
ATDEU002,AIX,Testing,Germany,2
SPESP007,Solaris,Production,Spain,7
LTDEU004,Linux,Testing,Germany,4
LPDEU005,Linux,Production,Germany,5
ATIRL004,AIX,Testing,Ireland,4
LSIRL007,Linux,Staging,Ireland,7
SIIRL001,Solaris,Integration,Ireland,1
HDNOR001,HP-UX,Development,Norway,1
LPFRA002,Linux,Production,France,2
SSIRL003,Solaris,Staging,Ireland,3
LTIRL005,Linux,Testing,Ireland,5
LPFRA003,Linux,Production,France,3
LDIRL001,Linux,Development,Ireland,1
LPIRL008,Linux,Production,Ireland,8
LTDEU005,Linux,Testing,Germany,5
LTITA007,Linux,Testing,Italy,7
LPIRL009,Linux,Production,Ireland,9
APIRL005,AIX,Production,Ireland,5
HDIRL001,HP-UX,Development,Ireland,1
LTITA008,Linux,Testing,Italy,8
STIRL002,Solaris,Testing,Ireland,2
HINOR001,HP-UX,Integration,Norway,1
ASITA002,AIX,Staging,Italy,2
LTDEU006,Linux,Testing,Germany,6
SDIRL001,Solaris,Development,Ireland,1
SPIRL002,Solaris,Production,Ireland,2
LSESP002,Linux,Staging,Spain,2
STDEU005,Solaris,Testing,Germany,5
SPIRL003,Solaris,Production,Ireland,3
LSIRL008,Linux,Staging,Ireland,8
SSIRL004,Solaris,Staging,Ireland,4
ATESP003,AIX,Testing,Spain,3
LSDEU003,Linux,Staging,Germany,3
SSITA002,Solaris,Staging,Italy,2
STIRL003,Solaris,Testing,Ireland,3
LTIRL006,Linux,Testing,Ireland,6
LPFRA004,Linux,Production,France,4
LSDEU004,Linux,Staging,Germany,4
HDIRL002,HP-UX,Development,Ireland,2
APDEU003,AIX,Production,Germany,3
LSESP003,Linux,Staging,Spain,3
HPESP002,HP-UX,Production,Spain,2
LDDEU002,Linux,Development,Germany,2
LSESP004,Linux,Staging,Spain,4
HPFRA002,HP-UX,Production,France,2
LSITA002,Linux,Staging,Italy,2
SPITA006,Solaris,Production,Italy,6
SSIRL005,Solaris,Staging,Ireland,5
HSNOR001,HP-UX,Staging,Norway,1
LIIRL003,Linux,Integration,Ireland,3
SDESP002,Solaris,Development,Spain,2
ASDEU003,AIX,Staging,Germany,3
SIFRA001,Solaris,Integration,France,1
LSIRL009,Linux,Staging,Ireland,9
LSESP005,Linux,Staging,Spain,5
STIRL004,Solaris,Testing,Ireland,4
LPDEU006,Linux,Production,Germany,6
ATIRL005,AIX,Testing,Ireland,5
SSIRL006,Solaris,Staging,Ireland,6
HTNOR001,HP-UX,Testing,Norway,1
HTDEU001,HP-UX,Testing,Germany,1
LSIRL010,Linux,Staging,Ireland,10
SPIRL004,Solaris,Production,Ireland,4
ADIRL002,AIX,Development,Ireland,2
LSESP006,Linux,Staging,Spain,6
LDDEU003,Linux,Development,Germany,3
HIESP004,HP-UX,Integration,Spain,4
LSDEU005,Linux,Staging,Germany,5
LPITA006,Linux,Production,Italy,6
LTDEU007,Linux,Testing,Germany,7
HTIRL002,HP-UX,Testing,Ireland,2
SSDEU002,Solaris,Staging,Germany,2
HTITA001,HP-UX,Testing,Italy,1
SPITA007,Solaris,Production,Italy,7
LSDEU006,Linux,Staging,Germany,6
HSESP002,HP-UX,Staging,Spain,2
LSDEU007,Linux,Staging,Germany,7
LPESP003,Linux,Production,Spain,3
HSFRA001,HP-UX,Staging,France,1
LPIRL010,Linux,Production,Ireland,10
STIRL005,Solaris,Testing,Ireland,5
LSDEU008,Linux,Staging,Germany,8
ASNOR002,AIX,Staging,Norway,2
APDEU004,AIX,Production,Germany,4
LIITA002,Linux,Integration,Italy,2
SSITA003,Solaris,Staging,Italy,3
HPFRA003,HP-UX,Production,France,3
LTIRL007,Linux,Testing,Ireland,7
LTESP002,Linux,Testing,Spain,2
STDEU006,Solaris,Testing,Germany,6
SSFRA002,Solaris,Staging,France,2
ATDEU003,AIX,Testing,Germany,3
APDEU005,AIX,Production,Germany,5
LPIRL011,Linux,Production,Ireland,11
ATIRL006,AIX,Testing,Ireland,6
LSDEU009,Linux,Staging,Germany,9
LDIRL002,Linux,Development,Ireland,2
LPDEU007,Linux,Production,Germany,7
SDESP003,Solaris,Development,Spain,3
LPESP004,Linux,Production,Spain,4
LIFRA001,Linux,Integration,France,1
HDDEU002,HP-UX,Development,Germany,2
SPIRL005,Solaris,Production,Ireland,5
HTIRL003,HP-UX,Testing,Ireland,3
HSIRL001,HP-UX,Staging,Ireland,1
APITA004,AIX,Production,Italy,4
LSNOR001,Linux,Staging,Norway,1
STDEU007,Solaris,Testing,Germany,7
HSIRL002,HP-UX,Staging,Ireland,2
STFRA002,Solaris,Testing,France,2
AIFRA001,AIX,Integration,France,1
LPNOR001,Linux,Production,Norway,1
LIDEU004,Linux,Integration,Germany,4
ADIRL003,AIX,Development,Ireland,3
SPIRL006,Solaris,Production,Ireland,6
LPDEU008,Linux,Production,Germany,8
APFRA002,AIX,Production,France,2
AIIRL001,AIX,Integration,Ireland,1
APITA005,AIX,Production,Italy,5
LSESP007,Linux,Staging,Spain,7
LIDEU005,Linux,Integration,Germany,5
SSDEU003,Solaris,Staging,Germany,3
SPDEU004,Solaris,Production,Germany,4
SIDEU001,Solaris,Integration,Germany,1
LPDEU009,Linux,Production,Germany,9
ATIRL007,AIX,Testing,Ireland,7
APNOR002,AIX,Production,Norway,2
ASDEU004,AIX,Staging,Germany,4
LSIRL011,Linux,Staging,Ireland,11
ATIRL008,AIX,Testing,Ireland,8
HTFRA001,HP-UX,Testing,France,1
ATESP004,AIX,Testing,Spain,4
LPIRL012,Linux,Production,Ireland,12
LPDEU010,Linux,Production,Germany,10
STIRL006,Solaris,Testing,Ireland,6
ATNOR001,AIX,Testing,Norway,1
SPDEU005,Solaris,Production,Germany,5
HSIRL003,HP-UX,Staging,Ireland,3
LIIRL004,Linux,Integration,Ireland,4
APITA006,AIX,Production,Italy,6
HTESP001,HP-UX,Testing,Spain,1
AIESP003,AIX,Integration,Spain,3
LTIRL008,Linux,Testing,Ireland,8
LTESP003,Linux,Testing,Spain,3
AIIRL002,AIX,Integration,Ireland,2
LTESP004,Linux,Testing,Spain,4
LIITA003,Linux,Integration,Italy,3
ASDEU005,AIX,Staging,Germany,5
LSITA003,Linux,Staging,Italy,3
ATDEU004,AIX,Testing,Germany,4
SPITA008,Solaris,Production,Italy,8
LDESP001,Linux,Development,Spain,1
HPITA002,HP-UX,Production,Italy,2
STIRL007,Solaris,Testing,Ireland,7
LIDEU006,Linux,Integration,Germany,6
ATDEU005,AIX,Testing,Germany,5
SSDEU004,Solaris,Staging,Germany,4
STIRL008,Solaris,Testing,Ireland,8
APESP002,AIX,Production,Spain,2
LTFRA001,Linux,Testing,France,1
LSESP008,Linux,Staging,Spain,8
ATFRA002,AIX,Testing,France,2
LPESP005,Linux,Production,Spain,5
APIRL006,AIX,Production,Ireland,6
STDEU008,Solaris,Testing,Germany,8
SPESP008,Solaris,Production,Spain,8
LTIRL009,Linux,Testing,Ireland,9
LDESP002,Linux,Development,Spain,2
SPITA009,Solaris,Production,Italy,9
LDIRL003,Linux,Development,Ireland,3
SPDEU006,Solaris,Production,Germany,6
SDIRL002,Solaris,Development,Ireland,2
ATITA004,AIX,Testing,Italy,4
LPIRL013,Linux,Production,Ireland,13
LDESP003,Linux,Development,Spain,3
STESP005,Solaris,Testing,Spain,5
ASIRL002,AIX,Staging,Ireland,2
LPESP006,Linux,Production,Spain,6
LSIRL012,Linux,Staging,Ireland,12
HPIRL002,HP-UX,Production,Ireland,2
SPIRL007,Solaris,Production,Ireland,7
LPESP007,Linux,Production,Spain,7
ASFRA001,AIX,Staging,France,1
LSDEU010,Linux,Staging,Germany,10
LPESP008,Linux,Production,Spain,8
LTIRL010,Linux,Testing,Ireland,10
LTDEU008,Linux,Testing,Germany,8
HDIRL003,HP-UX,Development,Ireland,3
STDEU009,Solaris,Testing,Germany,9
HDITA001,HP-UX,Development,Italy,1
STIRL009,Solaris,Testing,Ireland,9
LTESP005,Linux,Testing,Spain,5
LSESP009,Linux,Staging,Spain,9
LSNOR002,Linux,Staging,Norway,2
LTDEU009,Linux,Testing,Germany,9
LSDEU011,Linux,Staging,Germany,11
LPESP009,Linux,Production,Spain,9
LSIRL013,Linux,Staging,Ireland,13
APFRA003,AIX,Production,France,3
ATIRL009,AIX,Testing,Ireland,9
LSIRL014,Linux,Staging,Ireland,14
SIDEU002,Solaris,Integration,Germany,2
LTDEU010,Linux,Testing,Germany,10
LPIRL014,Linux,Production,Ireland,14
SDITA001,Solaris,Development,Italy,1
HPFRA004,HP-UX,Production,France,4
SSIRL007,Solaris,Staging,Ireland,7
AIITA001,AIX,Integration,Italy,1
APIRL007,AIX,Production,Ireland,7
SPIRL008,Solaris,Production,Ireland,8
LPDEU011,Linux,Production,Germany,11
SSFRA003,Solaris,Staging,France,3
LSNOR003,Linux,Staging,Norway,3
LPIRL015,Linux,Production,Ireland,15
LDITA002,Linux,Development,Italy,2
APFRA004,AIX,Production,France,4
APIRL008,AIX,Production,Ireland,8
LTIRL011,Linux,Testing,Ireland,11
HSESP003,HP-UX,Staging,Spain,3
LIIRL005,Linux,Integration,Ireland,5
LSIRL015,Linux,Staging,Ireland,15
ATDEU006,AIX,Testing,Germany,6
ASDEU006,AIX,Staging,Germany,6
APESP003,AIX,Production,Spain,3
LTIRL012,Linux,Testing,Ireland,12
SPNOR002,Solaris,Production,Norway,2
LSESP010,Linux,Staging,Spain,10
SDIRL003,Solaris,Development,Ireland,3
SSFRA004,Solaris,Staging,France,4
LTESP006,Linux,Testing,Spain,6
SIDEU003,Solaris,Integration,Germany,3
APITA007,AIX,Production,Italy,7
LSIRL016,Linux,Staging,Ireland,16
LDESP004,Linux,Development,Spain,4
LDESP005,Linux,Development,Spain,5
SSDEU005,Solaris,Staging,Germany,5
HPITA003,HP-UX,Production,Italy,3
LSIRL017,Linux,Staging,Ireland,17
SPITA010,Solaris,Production,Italy,10
HTITA002,HP-UX,Testing,Italy,2
AIIRL003,AIX,Integration,Ireland,3
SSIRL008,Solaris,Staging,Ireland,8
LPFRA005,Linux,Production,France,5
HPDEU001,HP-UX,Production,Germany,1
SSFRA005,Solaris,Staging,France,5
LTFRA002,Linux,Testing,France,2
LPDEU012,Linux,Production,Germany,12
SDITA002,Solaris,Development,Italy,2
HPESP003,HP-UX,Production,Spain,3
SSIRL009,Solaris,Staging,Ireland,9
LPFRA006,Linux,Production,France,6
ATDEU007,AIX,Testing,Germany,7
LTESP007,Linux,Testing,Spain,7
SPDEU007,Solaris,Production,Germany,7
LTNOR001,Linux,Testing,Norway,1
LSESP011,Linux,Staging,Spain,11
LTIRL013,Linux,Testing,Ireland,13
SSITA004,Solaris,Staging,Italy,4
APDEU006,AIX,Production,Germany,6
APIRL009,AIX,Production,Ireland,9
STFRA003,Solaris,Testing,France,3
HPESP004,HP-UX,Production,Spain,4
STITA002,Solaris,Testing,Italy,2
HINOR002,HP-UX,Integration,Norway,2
LDIRL004,Linux,Development,Ireland,4
SIESP002,Solaris,Integration,Spain,2
LPITA007,Linux,Production,Italy,7
LDIRL005,Linux,Development,Ireland,5
LPITA008,Linux,Production,Italy,8
SPFRA002,Solaris,Production,France,2
ATIRL010,AIX,Testing,Ireland,10
LSFRA002,Linux,Staging,France,2
LTIRL014,Linux,Testing,Ireland,14
LIIRL006,Linux,Integration,Ireland,6
LDIRL006,Linux,Development,Ireland,6
ASITA003,AIX,Staging,Italy,3
LTNOR002,Linux,Testing,Norway,2
AINOR001,AIX,Integration,Norway,1
SPESP009,Solaris,Production,Spain,9
LTDEU011,Linux,Testing,Germany,11
SSIRL010,Solaris,Staging,Ireland,10
LTESP008,Linux,Testing,Spain,8
LPESP010,Linux,Production,Spain,10
SDIRL004,Solaris,Development,Ireland,4
LTITA009,Linux,Testing,Italy,9
APIRL010,AIX,Production,Ireland,10
AIDEU002,AIX,Integration,Germany,2
LTIRL015,Linux,Testing,Ireland,15
LTNOR003,Linux,Testing,Norway,3
STITA003,Solaris,Testing,Italy,3
HTESP002,HP-UX,Testing,Spain,2
STDEU010,Solaris,Testing,Germany,10
SIIRL002,Solaris,Integration,Ireland,2
HPITA004,HP-UX,Production,Italy,4
LTIRL016,Linux,Testing,Ireland,16
SPITA011,Solaris,Production,Italy,11
STIRL010,Solaris,Testing,Ireland,10
ATNOR002,AIX,Testing,Norway,2
LPIRL016,Linux,Production,Ireland,16
AIDEU003,AIX,Integration,Germany,3
STESP006,Solaris,Testing,Spain,6
LTNOR004,Linux,Testing,Norway,4
HPITA005,HP-UX,Production,Italy,5
ATIRL011,AIX,Testing,Ireland,11
SPFRA003,Solaris,Production,France,3
LPDEU013,Linux,Production,Germany,13
LTITA010,Linux,Testing,Italy,10
LTDEU012,Linux,Testing,Germany,12
LPITA009,Linux,Production,Italy,9
HDFRA002,HP-UX,Development,France,2
SSFRA006,Solaris,Staging,France,6
SPIRL009,Solaris,Production,Ireland,9
LSESP012,Linux,Staging,Spain,12
LTESP009,Linux,Testing,Spain,9
SSFRA007,Solaris,Staging,France,7
LPESP011,Linux,Production,Spain,11
APIRL011,AIX,Production,Ireland,11
ATIRL012,AIX,Testing,Ireland,12
HPIRL003,HP-UX,Production,Ireland,3
SDNOR001,Solaris,Development,Norway,1
LTFRA003,Linux,Testing,France,3
HPESP005,HP-UX,Production,Spain,5
SPDEU008,Solaris,Production,Germany,8
HIDEU001,HP-UX,Integration,Germany,1
STIRL011,Solaris,Testing,Ireland,11
LIITA004,Linux,Integration,Italy,4
LTIRL017,Linux,Testing,Ireland,17
HPNOR001,HP-UX,Production,Norway,1
APFRA005,AIX,Production,France,5
ASITA004,AIX,Staging,Italy,4
SSFRA008,Solaris,Staging,France,8
SPFRA004,Solaris,Production,France,4
SSDEU006,Solaris,Staging,Germany,6
STDEU011,Solaris,Testing,Germany,11
ADESP002,AIX,Development,Spain,2
LPESP012,Linux,Production,Spain,12
LPITA010,Linux,Production,Italy,10
HPIRL004,HP-UX,Production,Ireland,4
APIRL012,AIX,Production,Ireland,12
HTNOR002,HP-UX,Testing,Norway,2
LTDEU013,Linux,Testing,Germany,13
LTDEU014,Linux,Testing,Germany,14
LSESP013,Linux,Staging,Spain,13
ASESP002,AIX,Staging,Spain,2
APIRL013,AIX,Production,Ireland,13
SIFRA002,Solaris,Integration,France,2
SDDEU002,Solaris,Development,Germany,2
STESP007,Solaris,Testing,Spain,7
LPESP013,Linux,Production,Spain,13
SDITA003,Solaris,Development,Italy,3
LDIRL007,Linux,Development,Ireland,7
LTESP010,Linux,Testing,Spain,10
LTESP011,Linux,Testing,Spain,11
LPDEU014,Linux,Production,Germany,14
ATIRL013,AIX,Testing,Ireland,13
LSIRL018,Linux,Staging,Ireland,18
ASIRL003,AIX,Staging,Ireland,3
HTITA003,HP-UX,Testing,Italy,3
SPNOR003,Solaris,Production,Norway,3
LPIRL017,Linux,Production,Ireland,17
SSITA005,Solaris,Staging,Italy,5
SPESP010,Solaris,Production,Spain,10
SPESP011,Solaris,Production,Spain,11
ASIRL004,AIX,Staging,Ireland,4
SSESP005,Solaris,Staging,Spain,5
ATFRA003,AIX,Testing,France,3
APITA008,AIX,Production,Italy,8
APIRL014,AIX,Production,Ireland,14
ASESP003,AIX,Staging,Spain,3
ADFRA001,AIX,Development,France,1
APIRL015,AIX,Production,Ireland,15
HIITA001,HP-UX,Integration,Italy,1
STITA004,Solaris,Testing,Italy,4
SSFRA009,Solaris,Staging,France,9
STIRL012,Solaris,Testing,Ireland,12
LTIRL018,Linux,Testing,Ireland,18
LSIRL019,Linux,Staging,Ireland,19
STESP008,Solaris,Testing,Spain,8
ASIRL005,AIX,Staging,Ireland,5
LTNOR005,Linux,Testing,Norway,5
LDFRA004,Linux,Development,France,4
LTIRL019,Linux,Testing,Ireland,19
STITA005,Solaris,Testing,Italy,5
LSDEU012,Linux,Staging,Germany,12
LDITA003,Linux,Development,Italy,3
SPDEU009,Solaris,Production,Germany,9
SDFRA002,Solaris,Development,France,2
LTIRL020,Linux,Testing,Ireland,20
SSITA006,Solaris,Staging,Italy,6
HTIRL004,HP-UX,Testing,Ireland,4
APIRL016,AIX,Production,Ireland,16
APITA009,AIX,Production,Italy,9
SDNOR002,Solaris,Development,Norway,2
LPIRL018,Linux,Production,Ireland,18
SSESP006,Solaris,Staging,Spain,6
SSIRL011,Solaris,Staging,Ireland,11
LIESP003,Linux,Integration,Spain,3
ASDEU007,AIX,Staging,Germany,7
ATITA005,AIX,Testing,Italy,5
LTFRA004,Linux,Testing,France,4
ADDEU003,AIX,Development,Germany,3
LSESP014,Linux,Staging,Spain,14
SPITA012,Solaris,Production,Italy,12
SIIRL003,Solaris,Integration,Ireland,3
SDFRA003,Solaris,Development,France,3
LSFRA003,Linux,Staging,France,3
SPFRA005,Solaris,Production,France,5
HTIRL005,HP-UX,Testing,Ireland,5
STITA006,Solaris,Testing,Italy,6
SSITA007,Solaris,Staging,Italy,7
LTESP012,Linux,Testing,Spain,12
LSITA004,Linux,Staging,Italy,4
AIFRA002,AIX,Integration,France,2
HPDEU002,HP-UX,Production,Germany,2
SPITA013,Solaris,Production,Italy,13
SPDEU010,Solaris,Production,Germany,10
LPDEU015,Linux,Production,Germany,15
LTDEU015,Linux,Testing,Germany,15
LDDEU004,Linux,Development,Germany,4
LSESP015,Linux,Staging,Spain,15
LSITA005,Linux,Staging,Italy,5
ASIRL006,AIX,Staging,Ireland,6
LTNOR006,Linux,Testing,Norway,6
LSIRL020,Linux,Staging,Ireland,20
LTFRA005,Linux,Testing,France,5
LSESP016,Linux,Staging,Spain,16
STFRA004,Solaris,Testing,France,4
LTITA011,Linux,Testing,Italy,11
HSESP004,HP-UX,Staging,Spain,4
HPDEU003,HP-UX,Production,Germany,3
SDESP004,Solaris,Development,Spain,4
LSDEU013,Linux,Staging,Germany,13
ASDEU008,AIX,Staging,Germany,8
SDIRL005,Solaris,Development,Ireland,5
SDITA004,Solaris,Development,Italy,4
SPESP012,Solaris,Production,Spain,12
LPITA011,Linux,Production,Italy,11
LTIRL021,Linux,Testing,Ireland,21
LPESP014,Linux,Production,Spain,14
LPFRA007,Linux,Production,France,7
LSNOR004,Linux,Staging,Norway,4
SPITA014,Solaris,Production,Italy,14
SPFRA006,Solaris,Production,France,6
SPIRL010,Solaris,Production,Ireland,10
HIITA002,HP-UX,Integration,Italy,2
LSDEU014,Linux,Staging,Germany,14
SSIRL012,Solaris,Staging,Ireland,12
LSIRL021,Linux,Staging,Ireland,21
AIITA002,AIX,Integration,Italy,2
SPDEU011,Solaris,Production,Germany,11
APITA010,AIX,Production,Italy,10
LINOR002,Linux,Integration,Norway,2
HDESP001,HP-UX,Development,Spain,1
LSIRL022,Linux,Staging,Ireland,22
SSDEU007,Solaris,Staging,Germany,7
ADIRL004,AIX,Development,Ireland,4
STITA007,Solaris,Testing,Italy,7
LTIRL022,Linux,Testing,Ireland,22
LPITA012,Linux,Production,Italy,12
SSDEU008,Solaris,Staging,Germany,8
ASIRL007,AIX,Staging,Ireland,7
STDEU012,Solaris,Testing,Germany,12
LSESP017,Linux,Staging,Spain,17
LTESP013,Linux,Testing,Spain,13
ASESP004,AIX,Staging,Spain,4
ATNOR003,AIX,Testing,Norway,3
LDDEU005,Linux,Development,Germany,5
SSITA008,Solaris,Staging,Italy,8
LSITA006,Linux,Staging,Italy,6
SSITA009,Solaris,Staging,Italy,9
LSESP018,Linux,Staging,Spain,18
APITA011,AIX,Production,Italy,11
HTITA004,HP-UX,Testing,Italy,4
SDIRL006,Solaris,Development,Ireland,6
HSITA001,HP-UX,Staging,Italy,1
APIRL017,AIX,Production,Ireland,17
SSIRL013,Solaris,Staging,Ireland,13
LPDEU016,Linux,Production,Germany,16
HPESP006,HP-UX,Production,Spain,6
SPDEU012,Solaris,Production,Germany,12
STDEU013,Solaris,Testing,Germany,13
SPDEU013,Solaris,Production,Germany,13
LTITA012,Linux,Testing,Italy,12
ASIRL008,AIX,Staging,Ireland,8
LSESP019,Linux,Staging,Spain,19
AIIRL004,AIX,Integration,Ireland,4
LPESP015,Linux,Production,Spain,15
HIDEU002,HP-UX,Integration,Germany,2
SPITA015,Solaris,Production,Italy,15
STITA008,Solaris,Testing,Italy,8
APIRL018,AIX,Production,Ireland,18
LSIRL023,Linux,Staging,Ireland,23
HDITA002,HP-UX,Development,Italy,2
HPIRL005,HP-UX,Production,Ireland,5
APIRL019,AIX,Production,Ireland,19
AIITA003,AIX,Integration,Italy,3
STITA009,Solaris,Testing,Italy,9
LTITA013,Linux,Testing,Italy,13
SSFRA010,Solaris,Staging,France,10
SPIRL011,Solaris,Production,Ireland,11
LTIRL023,Linux,Testing,Ireland,23
HSFRA002,HP-UX,Staging,France,2
SDIRL007,Solaris,Development,Ireland,7
LPDEU017,Linux,Production,Germany,17
LDDEU006,Linux,Development,Germany,6
LTIRL024,Linux,Testing,Ireland,24
APFRA006,AIX,Production,France,6
ADESP003,AIX,Development,Spain,3
AIITA004,AIX,Integration,Italy,4
SPDEU014,Solaris,Production,Germany,14
SPDEU015,Solaris,Production,Germany,15
LIDEU007,Linux,Integration,Germany,7
LPNOR002,Linux,Production,Norway,2
STIRL013,Solaris,Testing,Ireland,13
LPIRL019,Linux,Production,Ireland,19
LSESP020,Linux,Staging,Spain,20
AIDEU004,AIX,Integration,Germany,4
SIFRA003,Solaris,Integration,France,3
SSESP007,Solaris,Staging,Spain,7
LPIRL020,Linux,Production,Ireland,20
LSIRL024,Linux,Staging,Ireland,24
LPITA013,Linux,Production,Italy,13
HPIRL006,HP-UX,Production,Ireland,6
LSIRL025,Linux,Staging,Ireland,25
APIRL020,AIX,Production,Ireland,20
ASESP005,AIX,Staging,Spain,5
LSESP021,Linux,Staging,Spain,21
