id_log,id_host,timestamp,request_type,response_time_ms,status_code,user
68,LPIRL001,2024-06-07 03:19:44,GET,41,404,user518
69,LPIRL001,2025-01-14 10:53:37,GET,446,200,user850
70,LPIRL001,2024-08-02 21:41:35,GET,139,200,user134
71,LPIRL001,2025-05-09 20:39:14,DELETE,50,201,user575
72,LPIRL001,2024-01-08 12:15:22,GET,46,404,user708
73,LPIRL001,2024-04-25 18:34:23,GET,202,200,user131
74,LPIRL001,2024-02-02 11:44:47,GET,65,404,user816
75,LPIRL001,2024-01-31 23:41:39,PUT,139,200,user799
76,LPIRL001,2025-03-10 20:59:06,PUT,184,200,user636
77,LPIRL001,2025-08-05 03:16:31,GET,98,404,user831
78,LPIRL001,2024-05-17 12:29:43,PUT,1,200,user755
79,LPIRL001,2024-09-15 00:23:09,POST,1,201,user255
80,LPIRL001,2024-07-26 05:37:08,GET,238,201,user392
81,LPIRL001,2024-01-31 01:52:44,PUT,113,200,user313
82,LPIRL001,2025-09-29 07:54:24,POST,130,200,user025
83,LPIRL001,2025-05-27 15:54:37,GET,1,404,user286
84,LPIRL001,2024-09-29 17:50:17,GET,125,200,user864
85,LPIRL001,2025-02-20 11:47:08,GET,140,200,user595
86,LPIRL001,2024-07-25 04:39:06,GET,148,200,user354
87,LPIRL001,2025-07-19 21:03:51,POST,1,200,user922
88,LPIRL001,2025-03-23 20:22:48,GET,274,200,user447
89,LPIRL001,2024-01-02 07:31:39,GET,90,404,user755
90,LPIRL001,2025-06-04 21:25:17,GET,1,200,user972
91,LPIRL001,2025-05-30 22:17:16,PUT,72,200,user922
92,LPIRL001,2024-08-21 06:24:46,GET,91,200,user335
93,LPIRL001,2024-11-08 13:17:12,GET,51,200,user389
94,LPIRL001,2025-06-10 02:07:17,POST,136,200,user583
95,LPIRL001,2024-08-21 18:06:44,GET,89,200,user805
96,LPIRL001,2025-03-26 11:41:59,GET,37,200,user453
97,LPIRL001,2024-12-09 10:27:21,GET,1,404,user754
98,LPIRL001,2024-05-11 19:16:36,GET,1,200,user680
99,LPIRL001,2025-05-06 14:52:21,GET,114,200,user318
100,LPIRL001,2024-06-23 11:36:19,POST,71,200,user048
101,LPIRL001,2024-07-09 04:11:44,DELETE,35,200,user908
102,LPIRL001,2025-05-04 03:40:39,GET,1,201,user394
103,LPIRL001,2025-01-18 23:51:30,GET,116,404,user882
104,LPIRL001,2025-08-21 02:42:04,PUT,299,400,user225
105,LPIRL001,2024-05-16 14:45:55,POST,10,200,user940
106,LPIRL001,2024-04-04 06:17:17,GET,1,401,user684
107,LPIRL001,2025-02-16 13:00:57,DELETE,39,404,user628
108,LPIRL001,2025-09-25 00:49:20,POST,1,200,user851
109,LPIRL001,2025-03-01 13:04:24,GET,61,200,user770
110,LPIRL001,2024-07-11 00:52:57,POST,117,200,user797
111,LPIRL001,2025-02-08 21:43:58,GET,21,201,user241
112,LPIRL001,2024-07-30 01:08:12,GET,319,404,user083
113,LPIRL001,2024-04-17 11:28:46,GET,143,200,user425
114,LPIRL001,2024-11-12 14:12:10,GET,119,200,user064
115,LPIRL001,2024-06-09 15:40:20,POST,139,404,user021
116,LPIRL001,2025-08-17 15:43:02,GET,217,200,user966
117,LPIRL001,2024-09-30 05:15:33,GET,1,404,user552
118,LPIRL001,2025-08-03 14:42:07,POST,290,401,user920
119,LPIRL001,2024-06-20 07:08:21,GET,69,200,user685
120,LPIRL001,2025-06-11 12:07:20,POST,221,201,user861
121,LPIRL001,2024-12-29 00:47:01,PUT,287,404,user607
122,LPIRL001,2025-03-14 09:01:44,GET,30,200,user439
123,LPIRL001,2024-04-15 09:37:18,PUT,27,200,user466
124,LPIRL001,2024-09-10 20:50:50,GET,61,404,user285
125,LPIRL001,2025-08-07 02:28:44,DELETE,1,200,user768
126,LPIRL001,2025-02-22 23:29:59,GET,215,404,user230
127,LPIRL001,2025-05-19 23:33:51,GET,210,200,user254
128,LPIRL001,2024-06-03 20:21:08,POST,1,200,user245
129,LPIRL001,2024-04-08 00:55:46,GET,162,200,user263
130,LPIRL001,2025-08-18 16:01:00,GET,134,200,user987
131,LPIRL001,2025-08-03 22:20:40,POST,30,200,user593
132,LPIRL001,2024-01-20 22:40:49,PUT,1,200,user930
133,LPIRL001,2024-10-18 12:13:43,GET,36,200,user643
134,LPIRL001,2024-07-07 15:02:26,GET,266,400,user871
135,LPIRL001,2025-06-15 11:30:46,GET,143,401,user356
136,LPIRL001,2025-02-17 19:05:28,GET,172,200,user519
137,LPIRL001,2025-05-17 23:04:52,GET,175,200,user984
138,LPIRL001,2024-10-08 07:40:27,GET,1,403,user725
139,LPIRL001,2024-04-28 19:57:42,GET,343,200,user828
140,LPIRL001,2025-02-22 00:16:12,POST,199,200,user846
141,LPIRL001,2025-07-21 19:18:58,GET,12,404,user286
142,LPIRL001,2024-12-16 03:33:30,GET,102,200,user625
143,LPIRL001,2025-06-02 23:56:09,GET,131,200,user218
144,LPIRL001,2024-10-02 14:25:00,POST,51,200,user902
145,LPIRL001,2025-04-08 01:08:05,POST,2,404,user088
146,LPIRL001,2024-07-06 11:12:10,POST,101,200,user777
147,LPIRL001,2024-07-05 15:57:46,GET,34,401,user096
148,LPIRL001,2024-08-16 12:56:55,GET,1,200,user314
149,LPIRL001,2025-05-30 17:06:42,GET,1,200,user764
150,LPIRL001,2025-03-03 11:59:05,GET,249,201,user278
151,LPIRL001,2024-08-26 03:52:00,GET,51,200,user549
152,LPIRL001,2025-08-15 00:14:38,GET,38,200,user757
153,LPIRL001,2025-01-11 02:06:57,GET,1,200,user103
154,LPIRL001,2024-05-30 18:36:50,GET,379,200,user310
155,LPIRL001,2024-01-11 23:44:40,POST,38,200,user300
156,LPIRL001,2025-06-25 16:48:08,PUT,122,200,user771
157,LPIRL001,2025-01-16 06:38:31,GET,184,200,user349
158,LPIRL001,2024-05-23 04:47:16,DELETE,30,200,user883
159,LPIRL001,2025-01-06 01:31:03,GET,183,200,user703
160,LPIRL001,2024-02-11 15:20:44,GET,69,403,user972
161,LPIRL001,2024-08-23 23:54:16,GET,100,200,user611
162,LPIRL001,2025-09-06 04:28:38,GET,164,400,user390
163,LPIRL001,2024-12-15 22:11:53,PUT,57,200,user583
164,LPIRL001,2025-04-27 08:47:18,GET,73,404,user102
165,LPIRL001,2025-08-15 10:27:00,GET,198,200,user178
166,LPIRL001,2025-03-04 17:52:52,GET,109,200,user462
167,LPIRL001,2025-06-19 10:48:33,GET,11,201,user720
168,LPIRL001,2024-12-18 15:45:26,GET,39,200,user271
169,LPIRL001,2025-09-03 22:10:43,POST,13,200,user118
170,LPIRL001,2025-02-26 23:22:42,GET,64,200,user273
171,LPIRL001,2024-04-20 11:28:35,GET,23,201,user583
172,LPIRL001,2024-08-12 04:05:28,GET,108,200,user312
173,LPIRL001,2025-06-27 11:58:52,GET,17,200,user613
174,LPIRL001,2024-01-31 23:03:31,PUT,165,201,user619
175,LPIRL001,2024-07-13 11:11:45,GET,29,404,user602
176,LPIRL001,2024-01-17 02:43:23,DELETE,191,200,user276
177,LPIRL001,2025-03-23 14:01:20,GET,51,200,user939
178,LPIRL001,2024-08-04 01:12:51,GET,219,200,user651
179,LPIRL001,2025-09-24 10:37:33,GET,53,200,user687
180,LPIRL001,2024-03-22 05:52:59,PUT,66,200,user711
181,LPIRL001,2025-01-19 20:12:43,GET,98,200,user466
182,LPIRL001,2024-03-09 09:33:12,GET,227,200,user994
183,LPIRL001,2025-08-23 01:20:13,GET,61,200,user556
184,LPIRL001,2024-12-24 19:51:47,GET,16,200,user371
185,ATITA001,2024-12-09 08:14:26,POST,174,200,user563
186,ATITA001,2024-04-11 18:15:48,PUT,268,200,user997
187,ATITA001,2025-05-04 08:27:59,GET,191,200,user163
188,ATITA001,2024-08-29 08:48:08,GET,129,500,user935
189,ATITA001,2024-03-29 03:04:06,GET,48,200,user853
190,ATITA001,2024-04-29 14:13:47,GET,7,200,user855
191,ATITA001,2025-01-09 18:26:38,DELETE,396,200,user565
192,ATITA001,2024-04-22 08:19:18,GET,513,404,user885
193,ATITA001,2024-02-24 05:21:15,GET,172,401,user425
194,ATITA001,2024-09-20 23:44:01,PUT,1,200,user306
195,ATITA001,2025-03-31 21:18:43,GET,81,200,user887
196,ATITA001,2024-04-25 10:01:09,GET,214,400,user387
197,ATITA001,2024-12-19 16:14:19,PUT,459,404,user715
198,ATITA001,2024-07-04 11:39:28,GET,445,200,user763
199,ATITA001,2025-01-02 08:54:58,POST,388,403,user396
200,ATITA001,2025-05-30 12:03:23,POST,188,404,user130
201,ATITA001,2025-01-25 03:23:08,DELETE,1,200,user103
202,ATITA001,2024-12-07 23:54:09,GET,42,200,user892
203,ATITA001,2025-05-23 14:00:30,DELETE,452,200,user801
204,ATITA001,2024-07-24 20:22:57,GET,160,404,user873
205,ATITA001,2025-06-07 18:56:05,PUT,1,200,user325
206,ATITA001,2025-05-01 20:23:00,POST,27,200,user071
207,ATITA001,2024-07-01 08:26:04,GET,116,404,user233
208,ATITA001,2025-08-03 00:44:02,GET,84,201,user103
209,ATITA001,2024-12-10 14:46:03,GET,23,200,user030
210,ATITA001,2024-02-05 17:20:01,GET,203,200,user251
211,ATITA001,2025-02-16 13:39:28,GET,251,200,user185
212,ATITA001,2024-05-12 00:43:29,GET,173,200,user510
213,ATITA001,2025-03-28 22:50:12,GET,19,200,user261
214,ATITA001,2024-12-22 23:00:54,GET,339,404,user694
215,ATITA001,2025-02-28 13:19:40,GET,59,200,user354
216,ATITA001,2025-04-01 09:07:49,GET,153,200,user310
217,ATITA001,2024-06-03 17:40:26,DELETE,256,404,user110
218,ATITA001,2024-07-03 05:50:05,GET,183,200,user023
219,ATITA001,2025-05-26 06:17:35,GET,410,200,user886
220,ATITA001,2025-06-16 16:13:44,POST,322,201,user853
221,ATITA001,2024-08-10 07:02:44,POST,149,200,user822
222,ATITA001,2024-09-30 15:44:19,GET,33,400,user786
223,ATITA001,2025-05-27 00:02:04,GET,127,200,user100
224,ATITA001,2025-05-02 08:40:00,GET,42,200,user750
225,ATITA001,2024-04-12 01:41:37,GET,106,200,user766
226,ATITA001,2024-11-18 17:32:20,GET,764,404,user544
227,ATITA001,2025-01-24 18:07:56,PUT,145,404,user264
228,ATITA001,2025-01-09 06:17:40,DELETE,416,401,user480
229,ATITA001,2024-02-28 11:40:54,GET,296,404,user881
230,ATITA001,2025-06-09 07:35:16,POST,446,401,user375
231,ATITA001,2024-03-11 03:22:03,POST,123,200,user550
232,ATITA001,2024-04-05 23:51:39,GET,137,200,user843
233,ATITA001,2025-05-10 23:25:15,PUT,69,200,user240
234,ATITA001,2025-01-01 04:57:57,GET,91,404,user227
235,ATITA001,2025-05-18 01:06:55,GET,213,403,user932
236,ATITA001,2025-06-28 13:01:32,GET,42,404,user312
237,ATITA001,2025-01-17 15:11:18,GET,19,200,user551
238,ATITA001,2024-04-15 08:57:40,GET,123,200,user554
239,ATITA001,2024-11-21 13:05:20,GET,127,201,user907
240,ATITA001,2024-11-18 06:00:29,GET,598,404,user287
241,ATITA001,2024-01-26 09:52:32,GET,555,200,user456
242,ATITA001,2024-07-02 09:27:30,PUT,554,200,user661
243,ATITA001,2024-10-05 14:09:54,GET,136,200,user992
244,ATITA001,2024-04-04 21:13:19,PUT,12,200,user655
245,ATITA001,2025-04-08 19:36:26,DELETE,507,200,user342
246,ATITA001,2024-07-08 04:27:11,DELETE,119,403,user568
247,ATITA001,2024-06-09 21:41:35,GET,647,403,user239
248,ATITA001,2024-09-12 04:47:38,POST,678,200,user149
249,ATITA001,2024-04-10 23:13:44,GET,318,401,user113
250,ATITA001,2025-05-28 11:00:27,PUT,101,401,user603
251,ATITA001,2024-09-08 11:32:15,GET,131,200,user130
252,ATITA001,2025-07-30 02:37:36,GET,394,200,user371
253,ATITA001,2025-02-02 15:26:56,GET,88,200,user227
254,ATITA001,2025-04-22 18:25:21,GET,57,200,user470
255,ATITA001,2025-05-14 16:44:22,DELETE,64,200,user491
256,ATITA001,2024-11-07 22:41:17,GET,611,200,user921
257,ATITA001,2024-03-03 18:02:37,GET,287,200,user130
258,ATITA001,2024-08-01 14:40:11,GET,100,200,user612
259,ATITA001,2025-02-16 02:17:46,GET,1,200,user441
260,ATITA001,2024-03-18 00:49:13,POST,245,404,user565
261,ATITA001,2025-07-13 21:25:47,PUT,970,200,user910
262,ATITA001,2024-06-26 11:25:44,GET,53,201,user321
263,ATITA001,2024-11-27 11:27:27,GET,101,200,user977
264,ATITA001,2024-04-28 13:23:44,GET,398,200,user443
265,ATITA001,2024-03-16 00:05:29,POST,273,200,user134
266,ATITA001,2025-03-08 03:30:08,GET,300,200,user421
267,ATITA001,2024-10-01 15:32:45,PUT,225,404,user434
268,ATITA001,2025-07-14 01:32:43,GET,78,200,user520
269,ATITA001,2024-06-14 05:44:19,GET,111,200,user868
270,ATITA001,2024-03-25 01:20:12,GET,308,200,user232
271,ATITA001,2025-09-18 23:41:49,GET,323,200,user786
272,ATITA001,2025-09-27 16:34:56,GET,374,200,user674
273,ATITA001,2025-06-22 15:14:23,GET,432,200,user720
274,ATITA001,2025-08-15 04:20:36,GET,140,404,user580
275,ATITA001,2025-05-25 13:47:31,GET,143,200,user649
276,ATITA001,2024-01-24 19:29:23,GET,272,200,user162
277,ATITA001,2024-10-14 10:17:22,GET,200,200,user965
278,ATITA001,2025-03-16 20:42:38,GET,263,400,user051
279,ATITA001,2025-06-07 11:41:14,GET,298,200,user435
280,ATITA001,2025-01-12 05:23:25,GET,411,200,user354
281,ATITA001,2024-11-29 22:10:15,GET,100,200,user608
282,ATITA001,2025-01-12 23:29:31,GET,81,500,user057
283,ATITA001,2024-01-06 23:17:51,GET,52,404,user786
284,ATITA001,2024-04-16 14:14:31,POST,166,200,user441
285,ATITA001,2024-05-16 11:11:18,GET,31,200,user236
286,ATITA001,2025-01-23 13:33:57,GET,102,200,user760
287,ATITA001,2024-02-02 20:34:16,GET,115,200,user080
288,ATITA001,2024-08-31 03:52:23,GET,1,200,user118
289,ATITA001,2024-11-10 14:20:58,GET,143,200,user821
290,ATITA001,2025-04-25 02:41:24,GET,1,200,user109
291,ATITA001,2024-07-07 23:44:52,GET,1,200,user081
292,ATITA001,2024-11-03 09:37:33,PUT,344,400,user079
293,ATITA001,2025-01-31 12:05:53,GET,53,200,user199
294,ATITA001,2025-08-25 21:56:34,GET,14,403,user242
295,ATITA001,2024-03-20 20:24:55,GET,56,200,user617
296,ATITA001,2024-04-28 17:41:57,POST,276,400,user506
297,ATITA001,2024-12-26 08:42:43,POST,22,400,user460
298,ATITA001,2025-06-13 01:14:53,PUT,129,200,user885
299,ATITA001,2025-05-02 04:10:47,GET,1,200,user481
300,STDEU001,2024-08-01 08:17:17,GET,25,200,user076
301,STDEU001,2024-08-29 02:25:18,GET,198,200,user661
302,STDEU001,2024-03-11 03:14:55,GET,166,200,user474
303,STDEU001,2025-03-26 18:07:27,GET,230,200,user830
304,STDEU001,2025-03-20 00:27:10,GET,156,200,user488
305,STDEU001,2025-01-24 10:09:50,GET,766,404,user352
306,STDEU001,2025-07-08 19:48:25,GET,154,200,user041
307,STDEU001,2024-07-11 10:16:39,POST,138,200,user373
308,STDEU001,2024-10-16 14:27:52,PUT,313,200,user794
309,STDEU001,2024-09-19 19:37:14,GET,129,200,user338
310,STDEU001,2024-03-14 09:43:06,GET,138,200,user259
311,STDEU001,2025-07-16 03:22:23,PUT,82,200,user084
312,STDEU001,2025-03-28 15:03:06,GET,1,404,user318
313,STDEU001,2025-05-24 13:44:46,GET,605,404,user318
314,STDEU001,2025-03-10 03:03:45,GET,403,401,user833
315,STDEU001,2024-04-09 06:14:54,GET,277,200,user540
316,STDEU001,2024-03-13 14:05:22,GET,33,200,user371
317,STDEU001,2024-01-15 03:50:30,GET,52,404,user498
318,STDEU001,2024-05-29 03:14:13,GET,65,200,user080
319,STDEU001,2024-08-17 17:57:51,POST,126,404,user905
320,STDEU001,2025-02-12 23:15:39,GET,210,200,user785
321,STDEU001,2025-04-25 00:56:29,GET,229,404,user790
322,STDEU001,2025-04-30 06:00:23,POST,236,200,user449
323,STDEU001,2024-02-03 22:29:09,GET,49,200,user292
324,STDEU001,2025-08-07 09:35:16,POST,586,200,user547
325,STDEU001,2024-07-04 18:25:26,GET,288,404,user377
326,STDEU001,2025-06-10 20:33:20,PUT,109,500,user473
327,STDEU001,2025-08-20 15:22:27,GET,144,404,user837
328,STDEU001,2024-06-04 02:38:07,POST,150,200,user257
329,STDEU001,2024-02-10 12:42:07,GET,101,200,user867
330,STDEU001,2025-02-04 17:14:52,PUT,42,200,user782
331,STDEU001,2024-05-04 12:26:18,GET,307,200,user970
332,STDEU001,2024-06-21 11:05:18,POST,1,404,user953
333,STDEU001,2024-01-21 17:10:06,GET,1,200,user084
334,STDEU001,2024-10-18 04:52:43,GET,38,200,user102
335,STDEU001,2025-07-09 03:03:11,GET,15,200,user850
336,STDEU001,2025-01-01 23:11:53,GET,360,200,user723
337,STDEU001,2024-12-30 08:50:47,GET,263,200,user856
338,STDEU001,2024-04-26 03:14:51,GET,129,201,user541
339,STDEU001,2024-11-24 18:02:26,GET,10,200,user430
340,STDEU001,2025-05-11 06:55:24,POST,176,200,user114
341,STDEU001,2025-01-23 05:29:31,GET,188,200,user148
342,STDEU001,2024-08-14 05:42:12,GET,44,200,user247
343,STDEU001,2025-03-19 05:56:33,GET,102,404,user070
344,STDEU001,2025-02-12 14:27:31,GET,83,401,user520
345,STDEU001,2025-03-06 10:08:28,GET,201,200,user383
346,STDEU001,2024-07-16 00:23:00,POST,190,200,user070
347,STDEU001,2024-09-24 19:35:03,GET,1,200,user775
348,STDEU001,2024-09-15 06:35:46,GET,74,200,user347
349,STDEU001,2025-09-23 20:54:15,GET,233,500,user491
350,STDEU001,2025-05-05 16:24:35,GET,73,200,user734
351,STDEU001,2025-08-25 21:14:15,PUT,420,401,user908
352,STDEU001,2024-02-02 13:11:00,GET,222,200,user408
353,STDEU001,2025-09-25 08:16:15,GET,33,200,user366
354,STDEU001,2025-08-29 11:56:30,GET,98,200,user280
355,STDEU001,2024-04-06 16:22:56,POST,159,200,user980
356,STDEU001,2024-10-27 07:34:51,GET,24,200,user709
357,STDEU001,2025-01-21 10:30:29,GET,187,200,user435
358,STDEU001,2024-03-02 07:18:21,GET,525,500,user185
359,STDEU001,2025-02-27 16:22:47,GET,206,200,user457
360,STDEU001,2025-04-13 01:40:52,POST,125,200,user455
361,STDEU001,2024-09-30 01:18:38,GET,190,200,user446
362,STDEU001,2024-08-01 06:04:58,GET,13,401,user059
363,STDEU001,2024-02-28 06:52:07,GET,107,201,user164
364,STDEU001,2024-01-25 04:30:11,GET,600,200,user801
365,STDEU001,2024-12-06 08:08:00,GET,176,200,user393
366,STDEU001,2025-03-16 14:12:23,GET,685,200,user461
367,STDEU001,2024-10-15 03:16:46,GET,476,200,user408
368,STDEU001,2024-09-01 04:34:09,GET,1,200,user117
369,STDEU001,2024-01-21 03:03:34,POST,1,200,user269
370,STDEU001,2025-08-24 22:23:06,GET,21,200,user627
371,STDEU001,2024-08-09 19:32:19,GET,37,200,user076
372,STDEU001,2024-12-17 02:41:11,GET,19,201,user090
373,STDEU001,2025-09-21 13:03:41,GET,254,200,user067
374,STDEU001,2025-03-03 04:41:23,GET,1,404,user872
375,STDEU001,2024-05-02 08:06:38,POST,140,401,user521
376,STDEU001,2024-06-23 04:10:00,GET,341,200,user143
377,STDEU001,2024-07-02 21:04:56,POST,67,200,user823
378,STDEU001,2025-03-04 11:26:39,GET,347,404,user068
379,STDEU001,2024-08-28 05:35:48,GET,54,200,user420
380,STDEU001,2025-03-22 12:55:20,GET,1,404,user658
381,STDEU001,2024-02-27 14:32:10,GET,219,404,user799
382,STDEU001,2025-03-04 05:02:27,GET,156,200,user990
383,STDEU001,2024-04-10 05:20:55,GET,434,200,user157
384,STDEU001,2024-08-24 05:17:32,GET,256,200,user727
385,STDEU001,2024-06-24 03:04:14,GET,424,404,user257
386,STDEU001,2024-06-01 11:19:58,GET,27,200,user129
387,STDEU001,2025-04-30 11:15:40,GET,1,200,user965
388,STDEU001,2025-03-27 00:02:07,GET,265,200,user738
389,STDEU001,2025-04-15 00:36:24,GET,341,404,user084
390,STDEU001,2024-02-05 07:28:09,PUT,924,400,user272
391,STDEU001,2025-05-20 17:56:33,GET,44,200,user911
392,STDEU001,2025-05-02 03:11:04,GET,62,200,user310
393,STDEU001,2025-01-10 02:44:38,GET,317,200,user706
394,STDEU001,2024-02-16 12:51:35,GET,35,200,user476
395,STDEU001,2024-06-07 11:15:52,GET,595,200,user882
396,STDEU001,2024-09-25 06:10:25,DELETE,469,200,user380
397,STDEU001,2025-02-03 23:55:31,GET,88,200,user254
398,STDEU001,2024-04-19 10:08:58,GET,328,200,user394
399,STDEU001,2025-04-22 23:28:01,GET,385,403,user957
400,STDEU001,2025-03-24 16:52:00,POST,1,200,user164
401,STDEU001,2025-01-22 00:20:34,DELETE,365,200,user093
402,STDEU001,2024-11-01 10:33:56,GET,162,404,user221
403,STDEU001,2025-03-29 02:19:20,GET,405,404,user670
404,STDEU001,2025-06-06 08:41:33,GET,95,200,user868
405,STDEU001,2024-03-24 11:53:27,GET,511,400,user375
406,STDEU001,2024-02-05 03:22:45,GET,44,200,user200
407,STDEU001,2024-10-08 13:55:58,GET,55,400,user287
408,STDEU001,2025-04-29 02:03:54,GET,497,200,user999
409,STDEU001,2024-03-16 02:16:24,GET,31,404,user774
410,STDEU001,2024-04-22 01:20:18,GET,33,200,user513
411,STDEU001,2024-02-01 06:24:21,GET,628,200,user468
412,STDEU001,2024-04-25 16:27:18,GET,635,200,user336
413,STDEU001,2025-04-21 04:25:05,GET,116,404,user608
414,STDEU001,2024-09-18 06:27:20,GET,242,200,user502
415,STDEU001,2025-07-04 11:52:03,GET,109,200,user113
416,STDEU001,2024-11-19 12:52:24,GET,70,401,user743
417,STDEU001,2025-06-18 10:03:47,GET,47,200,user996
418,STDEU001,2025-08-25 20:42:31,GET,200,200,user053
419,STDEU001,2025-03-29 05:39:44,GET,200,400,user390
420,ADITA001,2024-04-24 18:44:19,POST,316,201,user196
421,ADITA001,2024-01-15 17:01:05,GET,376,200,user423
422,ADITA001,2025-06-20 07:51:28,GET,1,200,user869
423,ADITA001,2025-07-25 13:00:03,POST,135,201,user532
424,ADITA001,2024-06-10 01:07:46,GET,68,200,user980
425,ADITA001,2024-05-14 12:21:15,GET,158,200,user560
426,ADITA001,2024-10-02 04:23:17,GET,167,401,user271
427,ADITA001,2025-04-18 20:39:06,GET,381,404,user286
428,ADITA001,2025-03-09 11:29:21,GET,218,400,user722
429,ADITA001,2024-06-09 23:56:17,GET,1,200,user492
430,ADITA001,2024-09-27 22:09:44,GET,104,200,user588
431,ADITA001,2025-06-09 13:09:10,GET,254,404,user405
432,ADITA001,2025-09-27 15:39:41,GET,196,200,user979
433,ADITA001,2025-07-08 16:33:30,GET,1,404,user672
434,ADITA001,2024-07-18 04:27:43,POST,38,200,user576
435,ADITA001,2025-06-24 17:34:25,GET,332,200,user759
436,ADITA001,2025-03-31 19:18:48,GET,118,200,user239
437,ADITA001,2024-02-10 18:30:18,GET,379,200,user484
438,ADITA001,2024-03-19 02:17:34,GET,328,404,user162
439,ADITA001,2024-11-12 01:18:16,GET,115,404,user488
440,ADITA001,2025-01-05 20:17:07,GET,19,200,user061
